Name,Assemble,Type,Km,CarColor,InteriorColor,CarDoor,CarSeat,Gearbox,Price,Location,Status,EngineCar,Capacity,Trademark,ProductionYear
 Mercedes Benz GLC 200 4Matic - 2022,Lắp ráp trong nước,SUV,0,Trắng,Kem,5,5,Số tự động,2049, Hà Nội ,mới,Xăng,2.0,Mercedes,2022
 Mercedes Benz GLB 200 AMG - 2022,Nhập khẩu,SUV,0,Trắng,Màu khác,5,7,Số tự động,1989, Hà Nội ,mới,Xăng,1.3,Mercedes,2022
 Honda CRV L - 2022,Lắp ráp trong nước,SUV,0,Xanh,Đen,5,7,Số tự động,1083, Hà Nội ,mới,Xăng,1.5,Honda,2022
 Hyundai Tucson 2.0 AT Đặc biệt - 2022,Lắp ráp trong nước,Crossover,0,Đỏ,Đen,5,5,Số tự động,925, Hà Nội ,mới,Xăng,2.0,Hyundai,2022
 Mercedes Benz E class E300 AMG - 2021,Lắp ráp trong nước,Sedan,0,Đen,Đen,4,5,Số tự động,2879, Hà Nội ,cũ,Xăng,2.0,Mercedes,2021
 BMW X5 xDrive40i xLine Plus - 2021,Nhập khẩu,SUV,0,Trắng,Nâu,5,7,Số tự động,4359, Hà Nội ,mới,Xăng,3.0,BMW,2021
 Mercedes Benz GLC 200 4Matic - 2022,Lắp ráp trong nước,SUV,0,Đỏ,Kem,5,5,Số tự động,2129, Hà Nội ,mới,Xăng,2.0,Mercedes,2022
 Kia Sonet Deluxe 1.5 AT - 2022,Lắp ráp trong nước,Crossover,0,Trắng,Kem,5,5,Số tự động,539, Hải Phòng ,mới,Xăng,1.5,Kia,2022
 Mazda CX5 2.0 Premium - 2022,Lắp ráp trong nước,SUV,0,Đen,Đen,5,5,Số tự động,912, Hà Nội ,mới,Xăng,2.0,Mazda,2022
 Mazda 3 1.5L Luxury - 2022,Lắp ráp trong nước,Sedan,0,Đỏ,Đen,4,5,Số tự động,669, Hà Nội ,mới,Xăng,1.5,Mazda,2022
 Mercedes Benz C class C300 AMG - 2022,Nhập khẩu,Sedan,0,Đen,Đen,4,5,Số tự động,2399, Hà Nội ,mới,Xăng,2.0,Mercedes,2022
 Mercedes Benz E class E180 - 2020,Lắp ráp trong nước,Sedan,8000,Đen,Đen,4,5,Số tự động,1750, TP HCM ,cũ,Xăng,1.5,Mercedes,2020
 Kia Morning Luxury - 2021,Lắp ráp trong nước,Hatchback,0,Đỏ,Kem,5,5,Số tự động,383, Phú Thọ ,mới,Xăng,1.25,Kia,2021
 Ford Everest Titanium 2.0L 4x2 AT - 2019,Nhập khẩu,SUV,56000,Đen,Đen,5,7,Số tự động,1088, Bình Dương ,cũ,Dầu,2.0,Ford,2019
 VinFast Fadil Tiêu chuẩn 1.4 AT - 2022,Lắp ráp trong nước,Hatchback,0,Xanh,Đen,5,5,Số tự động,352, Hà Nội ,mới,Xăng,1.4,VinFast,2022
 Ford Focus Trend 1.5L - 2017,Lắp ráp trong nước,Hatchback,35000,Đỏ,Đen,5,5,Số tự động,495, Hà Nội ,cũ,Xăng,1.5,Ford,2017
 Hyundai SantaFe Tiêu chuẩn 2.5L - 2022,Lắp ráp trong nước,SUV,0,Trắng,Nâu,5,7,Số tự động,1030, Cần Thơ ,mới,Xăng,2.5,Hyundai,2022
 Mazda CX5 2.0 Deluxe - 2022,Lắp ráp trong nước,SUV,0,Xanh,Đen,5,5,Số tự động,832, Hà Nội ,mới,Xăng,2.0,Mazda,2022
 Mazda CX5 2.0 Luxury - 2022,Lắp ráp trong nước,SUV,0,Xanh,Đen,5,5,Số tự động,872, Hà Nội ,mới,Xăng,2.0,Mazda,2022
 Mazda CX5 Deluxe 2.0 AT - 2022,Lắp ráp trong nước,SUV,0,Trắng,Đen,5,5,Số tự động,832, Hà Nội ,mới,Xăng,2.0,Mazda,2022
 Ford Everest Titanium 2.0L 4x4 AT - 2021,Nhập khẩu,SUV,7900,Đen,Đen,5,7,Số tự động,1386, Hà Nội ,cũ,Dầu,2.0,Ford,2021
 Ford Ranger XL 4x4 MT - 2001,Lắp ráp trong nước,Bán tải / Pickup,6886,Vàng,Ghi,4,5,Số tay,98, Ninh Bình ,cũ,Dầu,2.5,Ford,2001
 VinFast Lux A 2.0 Nâng cao - 2022,Lắp ráp trong nước,Sedan,0,Đỏ,Ghi,4,5,Số tự động,948, TP HCM ,mới,Xăng,2.0,VinFast,2022
 Ford Ranger Wildtrak 2.0L 4x4 AT - 2022,Lắp ráp trong nước,Bán tải / Pickup,0,Đỏ,Đen,4,5,Số tự động,925, Hà Nội ,mới,Dầu,2.0,Ford,2022
 Toyota Corolla altis 2.0V Sport - 2018,Lắp ráp trong nước,Sedan,34200,Nâu,Đen,4,5,Số tự động,740, TP HCM ,cũ,Xăng,2.0,Toyota,2018
 Toyota Prado TXL 2.7L - 2015,Nhập khẩu,SUV,68000,Đen,Đen,5,7,Số tự động,1535, Hà Nội ,cũ,Xăng,2.7,Toyota,2015
 LandRover Discovery Sport HSE Luxury - 2017,Nhập khẩu,SUV,40000,Đen,Nâu,5,7,Số tự động,1999, Hà Nội ,cũ,Xăng,2.0,LandRover,2017
 Toyota Camry 2.5Q - 2019,Nhập khẩu,Sedan,30000,Trắng,Đen,4,5,Số tự động,1166, Hà Nội ,cũ,Xăng,2.5,Toyota,2019
 Kia Seltos Luxury 1.4 AT - 2022,Lắp ráp trong nước,Crossover,0,Trắng,Đen,5,5,Số tự động,704, Hà Nội ,mới,Xăng,1.4,Kia,2022
